,Tm,W,L,W-L_perc,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Year,T
14,Arizona Cardinals,8,8,.500,410,367,43,2.7,-0.1,2.6,1.5,1.0,2020,0
15,San Francisco 49ers,6,10,.375,376,390,-14,-0.9,1.7,0.8,0.2,0.7,2020,0
0,Dallas Cowboys,3,1,.750,126,97,29,7.3,4.5,11.8,16.1,-4.3,2021,
1,Washington Football Team,2,2,.500,101,122,-21,-5.3,1.5,-3.8,6.7,-10.5,2021,
2,Philadelphia Eagles,1,3,.250,94,106,-12,-3.0,0.0,-3.0,-8.0,5.0,2021,
3,New York Giants,1,3,.250,83,95,-12,-3.0,-2.5,-5.5,-5.6,0.1,2021,
4,Green Bay Packers,3,1,.750,95,100,-5,-1.3,-3.6,-4.9,-1.9,-3.0,2021,
5,Chicago Bears,2,2,.500,64,91,-27,-6.8,0.9,-5.9,-6.7,0.8,2021,
6,Minnesota Vikings,1,3,.250,94,92,2,0.5,5.9,6.4,3.8,2.6,2021,
7,Detroit Lions,0,4,.000,81,119,-38,-9.5,-2.9,-12.4,-3.5,-8.9,2021,
8,Tampa Bay Buccaneers,3,1,.750,122,105,17,4.3,-0.2,4.1,4.5,-0.4,2021,
9,Carolina Panthers,3,1,.750,97,66,31,7.8,0.0,7.7,-2.1,9.8,2021,
10,New Orleans Saints,2,2,.500,94,69,25,6.3,-1.4,4.9,2.8,2.1,2021,
11,Atlanta Falcons,1,3,.250,78,128,-50,-12.5,-2.1,-14.6,-5.4,-9.1,2021,
12,Arizona Cardinals,4,0,1.000,140,85,55,13.8,0.3,14.0,10.1,4.0,2021,
13,Los Angeles Rams,3,1,.750,115,99,16,4.0,1.2,5.2,6.0,-0.8,2021,
14,San Francisco 49ers,2,2,.500,107,102,5,1.3,-5.4,-4.1,1.2,-5.3,2021,
15,Seattle Seahawks,2,2,.500,103,100,3,0.8,-1.9,-1.2,0.3,-1.5,2021,
